verdict,line,operator,type,from,to,ref,excessKm,tripsDay,wasteDayKm,ratio,lat,lng,reason
"לא ניתן להשוואה","74","אגד","detour","אבן גבירול/שד' רוקח","מסוף רדינג/הורדה","418","0.549","55","30.2","1.9","32.09938","34.78277","לא ניתן להשוואה — כיוון נסיעה הפוך: קו 418 עובר בין ""אבן גבירול/שד' רוקח"" ל-""מסוף רדינג/הורדה"" בכיוון הפוך לזה של הקו הנבדק (B→A). ייתכן שהוא נוסע על רחובות חד-סטריים אחרים, ואורכו אינו מוכיח שקיים מסלול קצר יותר בכיוון הנבדק — אין בסיס להשוואת מרחקים."
"אמיתי","7","אגד","detour","נשיאי ישראל/פארק אופירה","צה''ל/ספריה עירונית","3","0.526","8","4.2","3.55","32.91328","35.30192","סטייה של 0.5 ק""מ במקטע אחד מול קו 3 (יחס פי 3.55) — מסלול עוקף ממשי, עיקוף אמיתי."
"אמיתי","110","קווים","detour","ת. רכבת מודיעין מרכז","קניון עזריאלי","217","0.519","1","0.5","2","31.90133","35.00498","המסלול מתקדם ואז חוזר 162 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""ת. רכבת מודיעין מרכז"" ל-""קניון עזריאלי"", בעוד קו 217 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"לא ניתן להשוואה","91","נתיב אקספרס","detour","דוד אלעזר/לח''י","מסעף בית העלמין","84","0.494","2","1","1.98","32.96366","35.48947","לא ניתן להשוואה — סדר תחנות שונה: קו 84 עובר דרך 1 תחנת/ות ביניים נוספת/ות בין ""דוד אלעזר/לח''י"" ל-""מסעף בית העלמין"" (A→…→B), בעוד הקו הנבדק עובר ישירות. זו בחירת תכנון מסלול, לא עיקוף — אין משמעות ליחס-מרחקים."
"לא ניתן להשוואה","270","אלקטרה אפיקים תחבורה","detour","שמחת עולם/שדרות אביר יעקב","דרך כוכב יעקב/שמחת עולם","143","0.49","2","1","3.69","31.87989","35.24439","לא ניתן להשוואה — כיווניות מנוגדת: קו 143 מגיע לתחנה המשותפת מצד מנוגד (הפרש וקטור הגעה 143° > 90°). הקווים על צירי נסיעה הפוכים — אין בסיס להשוואת מרחקים."
"אמיתי","80","אגד","detour","קפלן/השלום","אחד העם/כצנלסון","87","0.484","1","0.5","2.08","32.01919","34.80954","הקו סוטה הצידה עד 358 מ' מהקו הישר (מול ~49 מ' בקו 87) — בליטה ייחודית, עיקוף אמיתי."
"לא ניתן להשוואה","409","אלקטרה אפיקים תחבורה","detour","סובת התאנה","שדרות דוד המלך/התאנה","410","0.478","12","5.7","2.8","31.65163","35.1505","לא ניתן להשוואה — כיווניות מנוגדת: קו 410 מגיע לתחנה המשותפת מצד מנוגד (הפרש וקטור הגעה 140° > 90°). הקווים על צירי נסיעה הפוכים — אין בסיס להשוואת מרחקים."
"אמיתי","17","תנופה","detour","חלמיש/יהלום","אביבים/דגניה","20","0.477","1","0.5","1.7","32.12006","35.02866","הקו נוסע פי 1.70 מקו 20 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"אמיתי","17","תנופה","detour","חלמיש/יהלום","אביבים/דגניה","185","0.477","1","0.5","1.7","32.12006","35.02866","הקו נוסע פי 1.70 מקו 185 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"לא ניתן להשוואה","18","ש.א.מ","detour","ביר אל-אמיר/אל-פאח'ורה","פארק ביר אל-אמיר","46","0.474","22","10.4","3.3","32.68398","35.28565","לא ניתן להשוואה — כיווניות מנוגדת: קו 46 מגיע לתחנה המשותפת מצד מנוגד (הפרש וקטור הגעה 163° > 90°). הקווים על צירי נסיעה הפוכים — אין בסיס להשוואת מרחקים."
